Selected Kural Fields
---------------------

Adhigaram | Kural | Vilakam | Kalaingar_Urai
--------------------------------------------
கடவுள் வாழ்த்து | அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு. | அகரம் எழுத்துக்களுக்கு முதன்மை; ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை | அகரம்   எழுத்துக்களுக்கு   முதன்மை;  ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை.
கடவுள் வாழ்த்து | கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின். | தன்னைவிட அறிவில் மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும் அதனால் என்ன பயன்? ஒன்றுமில்லை | தன்னைவிட அறிவில்  மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும்  அதனால்என்ன பயன்? ஒன்றுமில்லை.
கடவுள் வாழ்த்து | மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார். | மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும் | மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்.
கடவுள் வாழ்த்து | வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல. | விருப்பு வெறுப்பற்றுத் தன்னலமின்றித் திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை | விருப்பு  வெறுப்பற்றுத்  தன்னலமின்றித்   திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை.
கடவுள் வாழ்த்து | இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு. | இறைவன் என்பதற்குரிய பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள் | இறைவன்   என்பதற்குரிய   பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்.
கடவுள் வாழ்த்து | பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார். | மெய், வாய், கண், மூக்கு, செவி எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும் | மெய், வாய், கண், மூக்கு, செவி  எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான  ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும்.
கடவுள் வாழ்த்து | தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது. | ஒப்பாரும் மிக்காருமில்லாதவனுடைய அடியொற்றி நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை | ஒப்பாரும்   மிக்காருமில்லாதவனுடைய  அடியொற்றி  நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை.
கடவுள் வாழ்த்து | அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது. | அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால், அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி நடப்பவர்க்கேயன்றி, மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக் கடப்பது என்பது எளிதான காரியமல்ல | அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால்,அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி  நடப்பவர்க்கேயன்றி மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக்  கடப்பது  என்பது எளிதாகாரியமல்ல.
கடவுள் வாழ்த்து | இயல்கோளில் பொறியில் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை. | உடல், கண், காது, மூக்கு, வாய் எனும் ஐம்பொறிகள் இருந்தும், அவைகள் இயங்காவிட்டால் என்ன நிலையோ அதே நிலைதான் ஈடற்ற ஆற்றலும் பண்பும் கொண்டவனை வணங்கி நடக்காதவனின் நிலையும் ஆகும் | உடல்,   கண்,  காது,  மூக்கு,  வாய்  எனும்  ஐம்பொறிகள் இருந்தும்,அவைகள்  இயங்காவிட்டால்  என்ன  நிலையோ அதே நிலைதான் ஈடற்றஆற்றலும் பண்பும்  கொண்டவனை  வணங்கி  நடக்காதவனின்  நிலையும்ஆகும்.
